candidate_id,group_key,group_label,group_a,group_b,metric,metric_label,classification_cutoff,accuracy_pp,fairness_disparity_pp,group_a_n,group_b_n,group_a_positive_n,group_b_positive_n,group_a_negative_n,group_b_negative_n,group_a_tp,group_a_fp,group_a_tn,group_a_fn,group_b_tp,group_b_fp,group_b_tn,group_b_fn,group_a_selection_rate,group_b_selection_rate,group_a_tpr,group_b_tpr,group_a_fpr,group_b_fpr,point_valid,invalid_reason
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.12,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.13,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.14,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.15,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.16,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.17,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.18,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.19,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.20,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.21,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.22,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.23,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.24,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.25,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.26,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.27,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.28,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.29,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.30,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.31,70.5000,0.0000,55,145,35,105,20,40,35,20,0,0,105,39,1,0,1.000000,0.993103,1.000000,1.000000,1.000000,0.975000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.32,70.5000,0.0000,55,145,35,105,20,40,35,20,0,0,105,39,1,0,1.000000,0.993103,1.000000,1.000000,1.000000,0.975000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.33,71.0000,0.0000,55,145,35,105,20,40,35,19,1,0,105,39,1,0,0.981818,0.993103,1.000000,1.000000,0.950000,0.975000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.34,71.0000,0.0000,55,145,35,105,20,40,35,19,1,0,105,39,1,0,0.981818,0.993103,1.000000,1.000000,0.950000,0.975000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.35,71.0000,0.0000,55,145,35,105,20,40,35,19,1,0,105,39,1,0,0.981818,0.993103,1.000000,1.000000,0.950000,0.975000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.36,71.5000,0.0000,55,145,35,105,20,40,35,19,1,0,105,38,2,0,0.981818,0.986207,1.000000,1.000000,0.950000,0.950000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.37,72.0000,0.0000,55,145,35,105,20,40,35,19,1,0,105,37,3,0,0.981818,0.979310,1.000000,1.000000,0.950000,0.925000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.38,72.5000,0.0000,55,145,35,105,20,40,35,19,1,0,105,36,4,0,0.981818,0.972414,1.000000,1.000000,0.950000,0.900000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.39,72.5000,0.0000,55,145,35,105,20,40,35,19,1,0,105,36,4,0,0.981818,0.972414,1.000000,1.000000,0.950000,0.900000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.40,72.5000,0.0000,55,145,35,105,20,40,35,19,1,0,105,36,4,0,0.981818,0.972414,1.000000,1.000000,0.950000,0.900000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.41,74.0000,0.0000,55,145,35,105,20,40,35,18,2,0,105,34,6,0,0.963636,0.958621,1.000000,1.000000,0.900000,0.850000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.42,74.0000,0.0000,55,145,35,105,20,40,35,18,2,0,105,34,6,0,0.963636,0.958621,1.000000,1.000000,0.900000,0.850000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.43,76.0000,0.0000,55,145,35,105,20,40,35,16,4,0,105,32,8,0,0.927273,0.944828,1.000000,1.000000,0.800000,0.800000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.44,76.0000,0.9524,55,145,35,105,20,40,35,15,5,0,104,32,8,1,0.909091,0.937931,1.000000,0.990476,0.750000,0.800000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.45,76.5000,0.9524,55,145,35,105,20,40,35,15,5,0,104,31,9,1,0.909091,0.931034,1.000000,0.990476,0.750000,0.775000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.46,76.0000,2.8571,55,145,35,105,20,40,35,15,5,0,102,30,10,3,0.909091,0.910345,1.000000,0.971429,0.750000,0.750000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.47,75.5000,3.8095,55,145,35,105,20,40,35,15,5,0,101,30,10,4,0.909091,0.903448,1.000000,0.961905,0.750000,0.750000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.48,75.0000,5.7143,55,145,35,105,20,40,35,15,5,0,99,29,11,6,0.909091,0.882759,1.000000,0.942857,0.750000,0.725000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.49,76.5000,5.7143,55,145,35,105,20,40,35,14,6,0,99,27,13,6,0.890909,0.868966,1.000000,0.942857,0.700000,0.675000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.50,77.0000,6.6667,55,145,35,105,20,40,35,13,7,0,98,26,14,7,0.872727,0.855172,1.000000,0.933333,0.650000,0.650000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.51,76.0000,0.9524,55,145,35,105,20,40,33,13,7,2,98,26,14,7,0.836364,0.855172,0.942857,0.933333,0.650000,0.650000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.52,76.5000,1.9048,55,145,35,105,20,40,32,13,7,3,98,24,16,7,0.818182,0.841379,0.914286,0.933333,0.650000,0.600000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.53,77.5000,0.9524,55,145,35,105,20,40,32,11,9,3,97,23,17,8,0.781818,0.827586,0.914286,0.923810,0.550000,0.575000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.54,77.5000,0.0000,55,145,35,105,20,40,32,11,9,3,96,22,18,9,0.781818,0.813793,0.914286,0.914286,0.550000,0.550000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.55,79.5000,0.0000,55,145,35,105,20,40,32,9,11,3,96,20,20,9,0.745455,0.800000,0.914286,0.914286,0.450000,0.500000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.56,78.0000,0.9524,55,145,35,105,20,40,31,9,11,4,94,20,20,11,0.727273,0.786207,0.885714,0.895238,0.450000,0.500000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.57,79.5000,0.9524,55,145,35,105,20,40,31,7,13,4,94,19,21,11,0.690909,0.779310,0.885714,0.895238,0.350000,0.475000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.58,79.5000,3.8095,55,145,35,105,20,40,30,7,13,5,94,18,22,11,0.672727,0.772414,0.857143,0.895238,0.350000,0.450000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.59,79.5000,3.8095,55,145,35,105,20,40,30,7,13,5,94,18,22,11,0.672727,0.772414,0.857143,0.895238,0.350000,0.450000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.60,79.0000,2.8571,55,145,35,105,20,40,30,7,13,5,93,18,22,12,0.672727,0.765517,0.857143,0.885714,0.350000,0.450000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.61,80.0000,2.8571,55,145,35,105,20,40,30,7,13,5,93,16,24,12,0.672727,0.751724,0.857143,0.885714,0.350000,0.400000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.62,80.0000,1.9048,55,145,35,105,20,40,30,7,13,5,92,15,25,13,0.672727,0.737931,0.857143,0.876190,0.350000,0.375000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.63,79.5000,3.8095,55,145,35,105,20,40,29,7,13,6,91,14,26,14,0.654545,0.724138,0.828571,0.866667,0.350000,0.350000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.64,80.0000,3.8095,55,145,35,105,20,40,29,6,14,6,91,14,26,14,0.636364,0.724138,0.828571,0.866667,0.300000,0.350000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.65,79.5000,6.6667,55,145,35,105,20,40,28,6,14,7,91,14,26,14,0.618182,0.724138,0.800000,0.866667,0.300000,0.350000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.66,77.0000,5.7143,55,145,35,105,20,40,27,6,14,8,87,14,26,18,0.600000,0.696552,0.771429,0.828571,0.300000,0.350000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.67,77.0000,4.7619,55,145,35,105,20,40,27,5,15,8,86,14,26,19,0.581818,0.689655,0.771429,0.819048,0.250000,0.350000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.68,76.0000,2.8571,55,145,35,105,20,40,27,5,15,8,84,14,26,21,0.581818,0.675862,0.771429,0.800000,0.250000,0.350000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.69,75.0000,7.6190,55,145,35,105,20,40,25,5,15,10,83,13,27,22,0.545455,0.662069,0.714286,0.790476,0.250000,0.325000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.70,74.5000,4.7619,55,145,35,105,20,40,25,4,16,10,80,12,28,25,0.527273,0.634483,0.714286,0.761905,0.200000,0.300000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.71,73.5000,1.9048,55,145,35,105,20,40,25,4,16,10,77,11,29,28,0.527273,0.606897,0.714286,0.733333,0.200000,0.275000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.72,72.0000,2.8571,55,145,35,105,20,40,24,4,16,11,75,11,29,30,0.509091,0.593103,0.685714,0.714286,0.200000,0.275000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.73,71.5000,4.7619,55,145,35,105,20,40,23,3,17,12,74,11,29,31,0.472727,0.586207,0.657143,0.704762,0.150000,0.275000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.74,70.5000,2.8571,55,145,35,105,20,40,23,3,17,12,72,11,29,33,0.472727,0.572414,0.657143,0.685714,0.150000,0.275000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.75,67.5000,4.7619,55,145,35,105,20,40,21,3,17,14,68,11,29,37,0.436364,0.544828,0.600000,0.647619,0.150000,0.275000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.76,66.5000,9.5238,55,145,35,105,20,40,19,2,18,16,67,11,29,38,0.381818,0.537931,0.542857,0.638095,0.100000,0.275000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.77,63.5000,11.4286,55,145,35,105,20,40,17,2,18,18,63,11,29,42,0.345455,0.510345,0.485714,0.600000,0.100000,0.275000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.78,60.5000,8.5714,55,145,35,105,20,40,16,2,18,19,57,10,30,48,0.327273,0.462069,0.457143,0.542857,0.100000,0.250000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.79,59.5000,10.4762,55,145,35,105,20,40,15,2,18,20,56,10,30,49,0.309091,0.455172,0.428571,0.533333,0.100000,0.250000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.80,59.5000,9.5238,55,145,35,105,20,40,15,2,18,20,55,9,31,50,0.309091,0.441379,0.428571,0.523810,0.100000,0.225000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.81,56.0000,17.1429,55,145,35,105,20,40,11,2,18,24,51,8,32,54,0.236364,0.406897,0.314286,0.485714,0.100000,0.200000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.82,55.0000,18.0952,55,145,35,105,20,40,10,2,18,25,49,7,33,56,0.218182,0.386207,0.285714,0.466667,0.100000,0.175000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.83,53.0000,13.3333,55,145,35,105,20,40,10,2,18,25,44,6,34,61,0.218182,0.344828,0.285714,0.419048,0.100000,0.150000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.84,49.5000,9.5238,55,145,35,105,20,40,9,2,18,26,37,5,35,68,0.200000,0.289655,0.257143,0.352381,0.100000,0.125000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.85,47.0000,7.6190,55,145,35,105,20,40,8,1,19,27,32,5,35,73,0.163636,0.255172,0.228571,0.304762,0.050000,0.125000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.86,45.5000,11.4286,55,145,35,105,20,40,6,1,19,29,30,4,36,75,0.127273,0.234483,0.171429,0.285714,0.050000,0.100000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.87,44.5000,9.5238,55,145,35,105,20,40,6,1,19,29,28,4,36,77,0.127273,0.220690,0.171429,0.266667,0.050000,0.100000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.88,44.0000,11.4286,55,145,35,105,20,40,5,1,19,30,27,3,37,78,0.109091,0.206897,0.142857,0.257143,0.050000,0.075000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.89,41.5000,14.2857,55,145,35,105,20,40,3,1,19,32,24,3,37,81,0.072727,0.186207,0.085714,0.228571,0.050000,0.075000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.90,39.0000,8.5714,55,145,35,105,20,40,3,1,19,32,18,2,38,87,0.072727,0.137931,0.085714,0.171429,0.050000,0.050000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.91,36.5000,3.8095,55,145,35,105,20,40,3,1,19,32,13,2,38,92,0.072727,0.103448,0.085714,0.123810,0.050000,0.050000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.92,33.5000,3.8095,55,145,35,105,20,40,1,1,19,34,7,0,40,98,0.036364,0.048276,0.028571,0.066667,0.050000,0.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.93,32.0000,0.9524,55,145,35,105,20,40,1,1,19,34,4,0,40,101,0.036364,0.027586,0.028571,0.038095,0.050000,0.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.94,31.0000,1.9048,55,145,35,105,20,40,0,0,20,35,2,0,40,103,0.000000,0.013793,0.000000,0.019048,0.000000,0.000000,true,
C02,dataset_coded_sex,Dataset-coded Sex,Female,Male,equal_opportunity,Equal Opportunity,0.95,30.5000,0.9524,55,145,35,105,20,40,0,0,20,35,1,0,40,104,0.000000,0.006897,0.000000,0.009524,0.000000,0.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.05,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.06,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.07,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.08,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.09,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.10,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.11,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.12,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.13,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.14,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.15,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.16,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.17,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.18,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.19,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.20,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.21,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.22,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.23,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.24,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.25,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.26,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.27,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.28,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.29,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.30,70.0000,0.0000,55,145,35,105,20,40,35,20,0,0,105,40,0,0,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.31,70.5000,2.5000,55,145,35,105,20,40,35,20,0,0,105,39,1,0,1.000000,0.993103,1.000000,1.000000,1.000000,0.975000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.32,70.5000,2.5000,55,145,35,105,20,40,35,20,0,0,105,39,1,0,1.000000,0.993103,1.000000,1.000000,1.000000,0.975000,true,
C03,dataset_coded_sex,Dataset-coded Sex,Female,Male,equalized_odds,Equalized Odds,0.33,71.0000,2.5000,55,145,35,105,20,40,35,19,1,0,105,39,1,0,0.981818,0.993103,1.000000,1.000000,0.950000,0.975000,true,
